session_id,day,total_pnl,emerald_pnl,tomato_pnl,total_slope_per_step,total_r2,emerald_slope_per_step,emerald_r2,tomato_slope_per_step,tomato_r2
14,-2,10674.0,7755.0,2919.0,1.0256914592114146,0.994921173791288,0.7753700869037009,0.9964985843723211,0.25032137230771373,0.9494258111115559
15,-1,9333.5,7700.0,1633.5,0.9226873495203735,0.9961467745876075,0.7580305467623054,0.9975092269011617,0.16465680275806802,0.858422238612607
16,-2,9991.5,7761.0,2230.5,1.0091004658055047,0.9930270549507689,0.8124987663489877,0.9941288219946028,0.19660169945651698,0.8702796641631219
17,-1,9320.0,6862.0,2458.0,0.9493649672176496,0.9960561438589217,0.663058596654586,0.9959159229315535,0.2863063705630637,0.9530237839616319
18,-2,9724.0,6700.0,3024.0,0.9923907789359078,0.992879647950339,0.6692719454667194,0.9958674788106969,0.32311883346918835,0.9604777855180393
19,-1,7366.5,6625.0,741.5,0.7226247441277475,0.9837189409634294,0.653504899261049,0.9958324755012425,0.06911984486669845,0.4969533486041883
20,-2,9475.0,7444.0,2031.0,1.030937504444875,0.9864973138613663,0.7844858395108584,0.9944506295269475,0.24645166493401666,0.9210019859966823
21,-1,10697.0,7573.0,3124.0,1.0653590750165907,0.9892178190066045,0.7835088358070884,0.9938779274670576,0.2818502392095024,0.9549341862587344
22,-2,9055.5,7082.0,1973.5,0.9208948340254484,0.9968778999539074,0.7415494496334945,0.9951144097072266,0.17934538439195385,0.9473180027230504
23,-1,8731.0,7042.0,1689.0,0.8368956880144569,0.9890456811400363,0.7039651662436517,0.9964865666175148,0.13293052177080522,0.6965311914434335
24,-2,9321.5,8052.0,1269.5,0.9092875678468757,0.9941527588564961,0.8037822355238223,0.9981017712228606,0.10550533232305333,0.7642535098909473
25,-1,8252.75,5967.0,2285.75,0.7656303567708036,0.9905629428740059,0.5725261861032619,0.9940529722406064,0.1931041706675417,0.9419536919572604
26,-2,11655.25,7751.0,3904.25,1.1523943748409438,0.9974043359550969,0.7747693717816937,0.9892589514834799,0.37762500305925,0.961454585754174
27,-1,10416.5,6600.0,3816.5,1.0183328213698282,0.9887079852405584,0.6724148363801483,0.9965225208325278,0.34591798498967985,0.9181904614210905
28,-2,9570.0,7034.0,2536.0,0.9138801362018013,0.9904275512727281,0.6855290070452901,0.9948664370738469,0.2283511291565113,0.9537563788307701
29,-1,10821.5,7327.0,3494.5,1.0736140810956407,0.9893828491641741,0.7288056175720562,0.9983080308856708,0.34480846352358463,0.9341921788163104
30,-2,8931.75,6974.0,1957.75,0.8241866182808661,0.9879421676916661,0.639235193174352,0.9841956067784011,0.18495142510651424,0.9482530330301979
31,-1,8790.5,6349.0,2441.5,0.9066449186164491,0.987772243767539,0.6641621315696213,0.9779400330166662,0.24248278704682788,0.9889961535705297
32,-2,10373.0,7809.0,2564.0,1.0381265333367653,0.997320731201697,0.7859288623312887,0.9962201605098763,0.2521976710054767,0.9561324959391273
33,-1,9418.5,7235.0,2183.5,0.9602427513969275,0.9982474667276303,0.7382598850465989,0.9986819580903458,0.22198286635032866,0.9708281662245792
34,-2,10208.25,7579.0,2629.25,1.0149352754178527,0.9979538528876072,0.7857614344476144,0.9968784979966425,0.2291738409702384,0.9740717826972431
35,-1,8638.5,6190.0,2448.5,0.8439441163429412,0.9953048232684041,0.6017258580892586,0.9934740819462213,0.2422182582536826,0.9594855170268048
36,-2,7104.0,7206.0,-102.0,0.7536423121804231,0.9621938137896325,0.715613792854138,0.9972036683939244,0.03802851932628519,0.04475353389200698
37,-1,9281.5,6118.0,3163.5,0.9309689041191891,0.9960320183735036,0.6231670821936708,0.9869689997139878,0.3078018219255182,0.9506802739583897
38,-2,11019.25,8350.0,2669.25,1.1305685312761853,0.9930111691373898,0.8501434165014342,0.9945347189044698,0.2804251147747511,0.963540485178014
39,-1,10426.0,7231.0,3195.0,1.0277407552719076,0.9904474691414236,0.727514105571141,0.9878090867569606,0.3002266497007665,0.9778249680535337
40,-2,10444.75,7215.0,3229.75,1.0075860441453603,0.9942930013704112,0.7075199644571997,0.9957968715110317,0.3000660796881608,0.9543111871748728
41,-1,9963.75,7307.0,2656.75,1.0471226647272267,0.9903997635316116,0.7375573538235736,0.9984870973319767,0.30956531090365313,0.9114060910088895
